RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
105,Robert Covington,F,30.6,6,38.1,79.3,9.6,16.5,10.0,0.9,14.0,0.5,22.0,0.5,0.653,0.693,9.3,7.8,11.9,1.2,4.0,1.5,1.0,1.33,4.7,127.8,108.9,2020-2021,Portland Trail Blazers
108,Damian Lillard,G,31.02,6,41.3,86.1,30.7,7.7,50.0,0.94,56.0,0.482,78.0,0.449,0.593,0.66,34.3,4.3,6.1,10.2,41.3,1.0,0.67,2.17,11.1,140.4,117.5,2020-2021,Portland Trail Blazers
110,CJ McCollum,G,29.84,6,39.9,83.2,24.8,9.1,13.0,0.769,72.0,0.5,42.0,0.333,0.5,0.518,20.7,6.0,8.7,4.3,17.0,0.33,0.67,2.0,8.1,107.6,110.2,2020-2021,Portland Trail Blazers
111,Jusuf Nurkic,C,26.91,6,28.9,60.2,20.8,17.5,25.0,0.72,50.0,0.58,5.0,0.2,0.555,0.598,13.2,10.3,20.6,2.7,13.7,0.5,1.17,2.33,9.9,117.6,98.2,2020-2021,Portland Trail Blazers
112,Norman Powell,G,28.16,6,36.0,75.0,19.0,7.7,18.0,0.889,50.0,0.56,26.0,0.385,0.566,0.608,17.0,2.2,3.5,2.0,8.3,0.83,1.0,1.17,4.7,121.3,114.3,2020-2021,Portland Trail Blazers
114,Anfernee Simons,G,22.12,6,17.9,37.3,10.9,3.8,0.0,0.0,7.0,0.429,18.0,0.611,0.78,0.78,6.5,2.7,8.6,0.8,6.5,0.33,0.17,0.17,5.4,156.4,115.1,2020-2021,Portland Trail Blazers
137,Rondae Hollis-Jefferson,F,26.55,5,7.1,14.8,8.0,0.0,3.0,0.667,5.0,0.8,0.0,0.0,0.8,0.791,2.0,1.6,13.0,0.0,0.0,0.2,0.2,0.0,0.0,173.2,104.4,2020-2021,Portland Trail Blazers
142,Enes Kanter,C,29.17,5,11.2,23.4,9.5,25.3,2.0,1.0,8.0,0.5,0.0,0.0,0.5,0.563,2.0,2.6,13.4,0.0,0.0,0.0,0.4,0.6,0.0,108.7,104.4,2020-2021,Portland Trail Blazers
197,T.J. Leaf,F,24.23,3,2.5,5.2,24.1,0.0,0.0,0.0,4.0,0.75,0.0,0.0,0.75,0.75,2.0,1.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,Portland Trail Blazers
198,Nassir Little,F-G,21.44,3,3.0,6.3,33.5,14.8,4.0,0.5,0.0,0.0,4.0,0.25,0.375,0.434,1.7,0.3,6.3,0.0,0.0,0.0,0.33,0.33,0.0,,,2020-2021,Portland Trail Blazers
210,Keljin Blevins,G,25.66,2,2.0,4.1,23.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,Portland Trail Blazers
